address,operator_address,moniker,tier,allocation
terp1h3r6kpjh9ahhxdlcjhhy4jqgtxgg4wy4u504sw,,,1,3
terp1h9telmavqcqt4at2r24hk8etlujc5yyxnqhtq3,,,1,3
terp1hk46nud6u79u3dzhfwdmszfeq2y5gkvqsuv4qr,,,1,3
terp1hlsdne6tljszfs0g9mup7hkaxngs02uynq2ge7,,,1,3
terp1hmvnht5pmajf8gv6v9lqxe3yptl6zhpgze5f93,,,1,3
terp1hzjshhytzexhkatvh2rjru94738ukckyufl55g,,,1,3
terp1j7k4qr4kxt37e05ylyzngj4a7y5sc4shchghle,,,1,3
terp1jjal9zgepms9nk533nya6frzyeu3je2vvvk9g6,,,1,3
terp1jpudqpydw26r3297dlaj3whecvatyayk9zdrc5,,,1,3
terp1jrun9td4ay99zl3umrpgytxrwxxl4ehmsaevux,,,1,3
terp1js638yd8j0yjwg3md9qm2aqc0zc008h0lmt66c,,,1,3
terp1jvm8gy4lgzcrsagxpyhvvxymz982y3j55skt3p,,,1,3
terp1k09afxhedzgrkn60rrnpa0u66yv3vz7yztrdf3,,,1,3
terp1k0edm2x43uyga7n6rvw5z5a80zqemywdu4r32y,,,1,3
terp1k5wv65kduq5d3cah63qx03jmymrtshkpeyu9tl,,,1,3
terp1kymg8jgly66q2ry9nmjdw5kkc0l4dkf5yjetg5,,,1,3
terp1l56z09rcgnamet6st2sm25ez6jc3ynp5z4r7sv,,,1,3
terp1lfzwc2t3kn92fmue8p4ff6nukesn0zrd9xhnwf,,,1,3
terp1lgw7t4s3r0u9u57uznfdqns9kssywvt9qpm6lw,,,1,3
terp1lp5dukv7aq7m5hs6nylyct7xzzkr308lcwm0y8,,,1,3
terp1lu9rwc2t6fl4v6keuzy3jwu6m6demuxga3qrmp,,,1,3
terp1luxd04jq75ya85uyqa2s3qe4uwq6xkhw6j3grp,,,1,3
terp1lwqpqguk5v0q8v88stw9z56r4j3yspclhfav8v,,,1,3
terp1m05umjfln8aq2xchnuvv3s78c05hjsmulpxu25,,,1,3
terp1m234dnn4huwga92r44f23xmu03qa90xmmpvhca,,,1,3
terp1mc4w0npa3e83e5s2fjyx7au3ucnpkaq5c2jrh6,,,1,3
terp1mp6pmw6qh3ufzwvyx43vvc9suf7j3ja49ref2c,,,1,3
terp1mppp30je8y73p5kcc2ej68jywxtjl3g6rhced3,,,1,3
terp1mvftg5yneyra3y47mmevnkxvft4c8tq9k6jlzc,,,1,3
terp1mw37tyktlr0krk4qnup2l09sf7qaflnxgchvdu,,,1,3
terp1my2ed0fyt7hwaeu36sx0x3amtu882q3x7ujmh4,,,1,3
terp1n42svuev8ufm2slyesflsydpc8c7pkm0j2364d,,,1,3
terp1n8n7wvc8kxadpacaf5lkhvkpvv9lzw5ce96nxe,,,1,3
terp1n96lzcs7efhxcwz6thxu46v45cra9kx60ah0qz,,,1,3
terp1nechhpd3rqymll6qz9mcyjxeqyf43zmd5x0cd4,,,1,3
terp1nsr7ufqnnuj468d6nsdq5ychukfv8c6nvkgkwt,,,1,3
terp1nxd64cd6nujsnhkms7v9rahu97c2rd36xsrka7,,,1,3
terp1nxdlgfrh8wdddcrtwjqpsyaeugnnwxfdpg2e8y,,,1,3
terp1p2hursqfpm8jnxwey0l29vvd9uh3hgww6pjg8e,,,1,3
terp1p45cvk7w98hkvqcf8vd9nverv35pg5yj4yl0wv,,,1,3
terp1p5v47xyrthlw2q2drpvynduq6kfxfx9mruvraw,,,1,3
terp1pasnu3wly4gy0a5qwkrc5j99cv0zqj8g3pwch4,,,1,3
terp1pk8a4rdvuv4w0ncf5cxewkajrgnth55udgqvha,,,1,3
terp1psqh6mn4dw209fhrenypycd8a3n7u8ydv8u38y,,,1,3
terp1pwnu3r0wapaujs3v9e6zwyezv6hv7yh99zjdfl,,,1,3
